,artist,change,lastPos,peakPos,rank,spotifyID,spotifyLink,title,videoLink,weeks,date
573,Bryson Tiller,+6,80,67,74,1TK6MwCSTO4c8ackS4CQ01,https://embed.spotify.com/?uri=spotify:track:1TK6MwCSTO4c8ackS4CQ01,Sorry Not Sorry,http://cache.vevo.com/assets/html/embed.html?video=USRV81500848&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,5,2016-01-30
574,Kelsea Ballerini,0,75,58,75,6FWrlXo99QRmPtOeUSWDjv,https://embed.spotify.com/?uri=spotify:track:6FWrlXo99QRmPtOeUSWDjv,Dibs,,11,2016-01-30
575,Halsey,-12,64,60,76,2QEAkoaLiFWaCjNa40M7sg,https://embed.spotify.com/?uri=spotify:track:2QEAkoaLiFWaCjNa40M7sg,New Americana,http://cache.vevo.com/assets/html/embed.html?video=USUV71502670&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,16,2016-01-30
576,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,0,77,71,77,6AoYWCzsDls6c61Zp5qTuU,https://embed.spotify.com/?uri=spotify:track:6AoYWCzsDls6c61Zp5qTuU,$ave Dat Money,,12,2016-01-30
577,David Bowie,New,0,78,78,0Y0pFPV5Y9OCxY5ZkcAE31,https://embed.spotify.com/?uri=spotify:track:0Y0pFPV5Y9OCxY5ZkcAE31,Blackstar,http://cache.vevo.com/assets/html/embed.html?video=USRV31500003&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,1,2016-01-30
578,Dawin,-6,73,68,79,1tYt8PbpbeTuqsNmprAZYY,https://embed.spotify.com/?uri=spotify:track:1tYt8PbpbeTuqsNmprAZYY,Dessert,http://cache.vevo.com/assets/html/embed.html?video=USUV71502564&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,6,2016-01-30
579,Gwen Stefani,-19,61,52,80,026yenUGRg687r3Muqkyhf,https://embed.spotify.com/?uri=spotify:track:026yenUGRg687r3Muqkyhf,Used To Love You,http://cache.vevo.com/assets/html/embed.html?video=USUV71503188&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,9,2016-01-30
580,Andy Grammer,-19,62,62,81,12VPYOEM6y4uobCmEwAFK8,https://embed.spotify.com/?uri=spotify:track:12VPYOEM6y4uobCmEwAFK8,Good To Be Alive (Hallelujah),,5,2016-01-30
581,Cole Swindell,+16,98,31,82,5jc9qLH1djdgTj0oVwhpk6,https://embed.spotify.com/?uri=spotify:track:5jc9qLH1djdgTj0oVwhpk6,You Should Be Here,http://cache.vevo.com/assets/html/embed.html?video=USWBV1501052&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,5,2016-01-30
582,Kevin Gates,0,83,46,83,1QCJfrkYyUC59owJ6uLQls,https://embed.spotify.com/?uri=spotify:track:1QCJfrkYyUC59owJ6uLQls,Really Really,http://cache.vevo.com/assets/html/embed.html?video=USATV1501051&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,4,2016-01-30
583,Florida Georgia Line,+7,91,53,84,7qVs4Fq4tNH5BbbxCq3tRu,https://embed.spotify.com/?uri=spotify:track:7qVs4Fq4tNH5BbbxCq3tRu,Confession,http://cache.vevo.com/assets/html/embed.html?video=QM3E21502003&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,3,2016-01-30
584,2 Chainz,+1,86,64,85,20wxsah2eenjJdee4an2B6,https://embed.spotify.com/?uri=spotify:track:20wxsah2eenjJdee4an2B6,Watch Out,http://cache.vevo.com/assets/html/embed.html?video=USUYG1089107&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,3,2016-01-30
585,Eric Church,-2,84,84,86,79dlQxvdsCDApoM8XChkpy,https://embed.spotify.com/?uri=spotify:track:79dlQxvdsCDApoM8XChkpy,Mr. Misunderstood,http://cache.vevo.com/assets/html/embed.html?video=USUV71503279&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,3,2016-01-30
586,James Bay,+3,90,16,87,2ggSyGB5HnVvGDGofu3ITZ,https://embed.spotify.com/?uri=spotify:track:2ggSyGB5HnVvGDGofu3ITZ,Let It Go,http://cache.vevo.com/assets/html/embed.html?video=USUV71500039&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,4,2016-01-30
587,Rudimental Featuring Ed Sheeran,-6,82,48,88,3853uIOwh2L9F8TkDd1F49,https://embed.spotify.com/?uri=spotify:track:3853uIOwh2L9F8TkDd1F49,Lay It All On Me,,15,2016-01-30
588,Big Sean Featuring Chris Brown & Ty Dolla $ign,0,89,84,89,3rsOs39rDAYxIOrDTHAgR9,https://embed.spotify.com/?uri=spotify:track:3rsOs39rDAYxIOrDTHAgR9,Play No Games,http://cache.vevo.com/assets/html/embed.html?video=USUV71500969&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,11,2016-01-30
589,Tori Kelly,-2,88,68,90,44cHg0JIrS144r7qLupD9o,https://embed.spotify.com/?uri=spotify:track:44cHg0JIrS144r7qLupD9o,Hollow,http://cache.vevo.com/assets/html/embed.html?video=USUV71503159&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,5,2016-01-30
590,Drake,-13,78,58,91,0MAubp6s6yJTTaVQtX0VVB,https://embed.spotify.com/?uri=spotify:track:0MAubp6s6yJTTaVQtX0VVB,Right Hand,,18,2016-01-30
591,Blake Shelton,-20,72,54,92,57gS5wJqIH6sbtBIIiioNY,https://embed.spotify.com/?uri=spotify:track:57gS5wJqIH6sbtBIIiioNY,Gonna,,18,2016-01-30
592,Randy Houser,-1,92,60,93,4kYlMWhSOvrg4U6c0RqgEP,https://embed.spotify.com/?uri=spotify:track:4kYlMWhSOvrg4U6c0RqgEP,We Went,http://cache.vevo.com/assets/html/embed.html?video=US58E1591508&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,4,2016-01-30
593,Brett Eldredge,New,0,35,94,1jNNHFZmRGXZFHlil5uhei,https://embed.spotify.com/?uri=spotify:track:1jNNHFZmRGXZFHlil5uhei,Drunk On Your Love,http://cache.vevo.com/assets/html/embed.html?video=USATV1600039&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,1,2016-01-30
594,Fetty Wap,-1,94,57,95,5az4fckVxzi1tUyIrwRdos,https://embed.spotify.com/?uri=spotify:track:5az4fckVxzi1tUyIrwRdos,RGF Island,,14,2016-01-30
595,Rae Sremmurd,-11,85,56,96,5MGNXZUqLX8HCsAplTjzxw,https://embed.spotify.com/?uri=spotify:track:5MGNXZUqLX8HCsAplTjzxw,Come Get Her,http://cache.vevo.com/assets/html/embed.html?video=USUV71501680&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,18,2016-01-30
596,Chris Stapleton,0,97,68,97,0ICz6zbWzkiAtGquIErfz8,https://embed.spotify.com/?uri=spotify:track:0ICz6zbWzkiAtGquIErfz8,Nobody To Blame,,2,2016-01-30
597,David Guetta Featuring Sia & Fetty Wap,New,0,76,98,0QQG0RovnsfKUdHJIsJ39f,https://embed.spotify.com/?uri=spotify:track:0QQG0RovnsfKUdHJIsJ39f,Bang My Head,,1,2016-01-30
598,Ty Dolla $ign Featuring Future & Rae Sremmurd,0,99,63,99,3nW6HqoWdzpdz2oAzkHEoV,https://embed.spotify.com/?uri=spotify:track:3nW6HqoWdzpdz2oAzkHEoV,Blase,,18,2016-01-30
599,J Balvin,-4,96,84,100,2C2TGgFzrTRIOdQS1vUN5h,https://embed.spotify.com/?uri=spotify:track:2C2TGgFzrTRIOdQS1vUN5h,Ginza,http://cache.vevo.com/assets/html/embed.html?video=MXUV71500227&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,14,2016-01-30
600,Justin Bieber,0,1,1,1,2GpHJb7xGNBaIDTrBxjIu6,https://embed.spotify.com/?uri=spotify:track:2GpHJb7xGNBaIDTrBxjIu6,Sorry,,13,2016-02-06
601,Justin Bieber,+1,3,1,2,3hB5DgAiMAQ4DzYbsMq1IT,https://embed.spotify.com/?uri=spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,,10,2016-02-06
602,Adele,-1,2,1,3,1MDoll6jK4rrk2BcFRP5i7,https://embed.spotify.com/?uri=spotify:track:1MDoll6jK4rrk2BcFRP5i7,Hello,,13,2016-02-06
603,twenty one pilots,0,4,2,4,3CRDbSIZ4r5MsZ0YwxuEkn,https://embed.spotify.com/?uri=spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,http://cache.vevo.com/assets/html/embed.html?video=USATV1500238&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,18,2016-02-06
604,Alessia Cara,+1,6,5,5,0yKXxMgfRpYzVeIbPZss5B,https://embed.spotify.com/?uri=spotify:track:0yKXxMgfRpYzVeIbPZss5B,Here,http://cache.vevo.com/assets/html/embed.html?video=USUV71501047&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,25,2016-02-06
605,Shawn Mendes,+2,8,4,6,3zkWCteF82vJwv0hRLba76,https://embed.spotify.com/?uri=spotify:track:3zkWCteF82vJwv0hRLba76,Stitches,http://cache.vevo.com/assets/html/embed.html?video=USUV71500300&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,35,2016-02-06
606,Selena Gomez,-2,5,5,7,7jv4Mb21bdd9SDVOm9Fm9l,https://embed.spotify.com/?uri=spotify:track:7jv4Mb21bdd9SDVOm9Fm9l,Same Old Love,http://cache.vevo.com/assets/html/embed.html?video=USUV71502174&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,19,2016-02-06
